key,start_time,key_per_second,combination,error,start_time_timestamp,seek_time,error_rate,accuracy,end_time,hold_time,end_time_timestamp,language
'g',0.0,0.0,,False,1761084510.6549883,0.0,0.0,1.0,0.0752797126770019,0.0752797126770019,1761084510.730268,Hungarian
Key.space,0.1537983417510986,13.004041378006036,,False,1761084510.8087866,0.0785186290740966,0.0,1.0,0.2223742008209228,0.0685758590698242,1761084510.8773625,Hungarian
'f',0.5965695381164551,5.028751567624253,,False,1761084511.2515578,0.3741953372955322,0.0,1.0,0.6813597679138184,0.0847902297973632,1761084511.336348,Hungarian
'o',0.7110908031463623,5.62516064376196,,False,1761084511.366079,0.0297310352325439,0.0,1.0,0.8014638423919678,0.0903730392456054,1761084511.456452,Hungarian
'r',0.86403489112854,5.786803347107153,,False,1761084511.5190232,0.0625710487365722,0.0,1.0,0.9502465724945068,0.0862116813659668,1761084511.6052349,Hungarian
Key.space,0.99627947807312,6.02240649541879,,False,1761084511.6512678,0.0460329055786132,0.0,1.0,1.0912010669708252,0.094921588897705,1761084511.7461894,Hungarian
't',1.205197811126709,5.808175168735062,,True,1761084511.860186,0.1139967441558837,0.125,0.875,1.2866947650909424,0.0814969539642334,1761084511.941683,Hungarian
Key.backspace,1.6002626419067385,4.9991793787474,,False,1761084512.255251,0.3135678768157959,0.0,1.0,1.6744906902313232,0.0742280483245849,1761084512.329479,Hungarian
'w',1.7418320178985596,5.166973570079443,,False,1761084512.3968203,0.0673413276672363,0.1111111111111111,0.8888888888888888,1.8394367694854736,0.097604751586914,1761084512.494425,Hungarian
'h',1.9742720127105715,5.065158162410724,,False,1761084512.6292603,0.1348352432250976,0.1,0.9,2.0600173473358154,0.0857453346252441,1761084512.7150056,Hungarian
'a',2.16672158241272,5.076794401868245,,False,1761084512.82171,0.1067042350769043,0.0909090909090909,0.9090909090909092,2.286120176315308,0.1193985939025878,1761084512.9411085,Hungarian
't',2.45412278175354,4.889730900678759,,False,1761084513.109111,0.1680026054382324,0.0833333333333333,0.9166666666666666,2.541717529296875,0.0875947475433349,1761084513.1967058,Hungarian
Key.space,2.587743759155273,5.023681326254512,,False,1761084513.242732,0.0460262298583984,0.0769230769230769,0.9230769230769232,2.65167498588562,0.0639312267303466,1761084513.3066633,Hungarian
'y',2.9335005283355717,4.772455250909196,,False,1761084513.5884888,0.2818255424499511,0.0714285714285714,0.9285714285714286,3.028285026550293,0.0947844982147216,1761084513.6832733,Hungarian
'o',3.056291341781616,4.907909071016767,,False,1761084513.7112796,0.0280063152313232,0.0666666666666666,0.9333333333333332,3.142115592956543,0.0858242511749267,1761084513.797104,Hungarian
'u',3.250333786010742,4.922571358321142,,False,1761084513.905322,0.1082181930541992,0.0625,0.9375,3.322701930999756,0.0723681449890136,1761084513.9776902,Hungarian
Key.space,3.472140312194824,4.896115499794963,,False,1761084514.1271286,0.1494383811950683,0.0588235294117647,0.9411764705882352,3.5471150875091557,0.074974775314331,1761084514.2021034,Hungarian
'b',3.658146619796753,4.920524481602129,,False,1761084514.313135,0.1110315322875976,0.0555555555555555,0.9444444444444444,3.775055408477783,0.1169087886810302,1761084514.4300437,Hungarian
'e',3.746887683868408,5.070875244486588,"'B','E'",False,1761084514.401876,0.0887410640716552,0.0526315789473684,0.9473684210526316,3.867589235305786,0.1207015514373779,1761084514.5225775,Hungarian
