key,start_time,key_per_second,combination,error,start_time_timestamp,seek_time,error_rate,accuracy,end_time,hold_time,end_time_timestamp,language
't',0.0,0.0,,False,1761079788.405166,0.0,0.0,1.0,0.076617956161499,0.076617956161499,1761079788.481784,Hungarian
'i',0.0787351131439209,25.40162730628424,,False,1761079788.483901,0.0021171569824218,0.0,1.0,0.1476080417633056,0.0688729286193847,1761079788.552774,Hungarian
'o',0.2595100402832031,11.560246365520587,,False,1761079788.664676,0.1119019985198974,0.0,1.0,0.3311605453491211,0.0716505050659179,1761079788.7363265,Hungarian
'n',0.8122763633728027,4.924432348850902,,False,1761079789.2174425,0.4811158180236816,0.0,1.0,0.9252431392669678,0.112966775894165,1761079789.330409,Hungarian
Key.shift_r,1.132526159286499,4.41490905883361,,False,1761079789.537692,0.2072830200195312,0.0,1.0,1.4645664691925049,0.3320403099060058,1761079789.8697324,Hungarian
'?',1.3179044723510742,4.552682023528083,"'?',KEY.SHIFT_R",False,1761079789.7230704,0.1853783130645752,0.0,1.0,1.4304132461547852,0.1125087738037109,1761079789.8355792,Hungarian
Key.space,1.8023285865783687,3.88386449181786,,False,1761079790.2074945,0.371915340423584,0.0,1.0,1.8761827945709229,0.0738542079925537,1761079790.2813487,Hungarian
Key.shift_r,2.140714645385742,3.737069775854434,,False,1761079790.5458806,0.2645318508148193,0.0,1.0,2.280604124069214,0.1398894786834716,1761079790.68577,Hungarian
'B',2.249829053878784,4.0003039273066925,"'B',KEY.SHIFT_R",False,1761079790.654995,0.1091144084930419,0.0,1.0,2.325060606002808,0.0752315521240234,1761079790.7302265,Hungarian
'e',2.413667678833008,4.143072423638259,,False,1761079790.8188336,0.0886070728302002,0.0,1.0,2.528343915939331,0.1146762371063232,1761079790.9335098,Hungarian
'i',2.5382330417633057,4.333723428467514,,False,1761079790.943399,0.0098891258239746,0.0,1.0,2.680303812026977,0.1420707702636718,1761079791.0854695,Hungarian
'n',2.645358800888061,4.536246650538118,"'I','N'",False,1761079791.0505247,0.1071257591247558,0.0,1.0,2.758810520172119,0.1134517192840576,1761079791.1639764,Hungarian
'g',2.763228416442871,4.704641832228628,,False,1761079791.1683943,0.0044178962707519,0.0,1.0,2.8352067470550537,0.0719783306121826,1761079791.240373,Hungarian
