key,start_time,key_per_second,combination,error,start_time_timestamp,seek_time,error_rate,accuracy,end_time,hold_time,end_time_timestamp,language
Key.space,0.0,0.0,,False,1761084655.6268368,0.0,0.0,1.0,0.0365583896636962,0.0365583896636962,1761084655.6633952,Hungarian
'b',0.3193428516387939,6.262861340833092,,False,1761084655.9461796,0.2827844619750976,0.0,1.0,0.4522233009338379,0.1328804492950439,1761084656.07906,Hungarian
'o',0.74568772315979,4.02313181084402,,False,1761084656.3725245,0.2934644222259521,0.0,1.0,0.8503057956695557,0.1046180725097656,1761084656.4771426,Hungarian
'd',0.871450662612915,4.590047574244301,,False,1761084656.4982874,0.0211448669433593,0.0,1.0,0.9783220291137696,0.1068713665008544,1761084656.6051588,Hungarian
'y',1.0581250190734863,4.725339548608435,,False,1761084656.6849618,0.0798029899597168,0.0,1.0,1.1933844089508057,0.1352593898773193,1761084656.8202212,Hungarian
Key.space,1.3973474502563477,4.29384975003839,,False,1761084657.0241842,0.203963041305542,0.0,1.0,1.5023620128631592,0.1050145626068115,1761084657.1291988,Hungarian
'a',1.609593391418457,4.348924416141668,,False,1761084657.2364302,0.1072313785552978,0.0,1.0,1.7404472827911377,0.1308538913726806,1761084657.367284,Hungarian
'n',1.7794597148895264,4.495746620763854,,False,1761084657.4062965,0.0390124320983886,0.0,1.0,1.8851780891418457,0.1057183742523193,1761084657.5120149,Hungarian
'd',1.9051814079284668,4.723959599094471,,False,1761084657.5320182,0.020003318786621,0.0,1.0,1.992178440093994,0.0869970321655273,1761084657.6190152,Hungarian
Key.space,2.028181314468384,4.930525653038642,,False,1761084657.655018,0.0360028743743896,0.0,1.0,2.1055126190185547,0.0773313045501709,1761084657.7323494,Hungarian
'm',2.218230962753296,4.958906527184466,,False,1761084657.8450675,0.1127183437347412,0.0,1.0,2.2901976108551025,0.0719666481018066,1761084657.9170344,Hungarian
'i',2.445672512054444,4.906625862969533,,False,1761084658.0725093,0.1554749011993408,0.0,1.0,2.5646092891693115,0.1189367771148681,1761084658.191446,Hungarian
'n',2.6198315620422363,4.962151074272162,,False,1761084658.2466683,0.0552222728729248,0.0,1.0,2.7532293796539307,0.1333978176116943,1761084658.3800662,Hungarian
