key,start_time,key_per_second,combination,error,start_time_timestamp,seek_time,error_rate,accuracy,end_time,hold_time,end_time_timestamp,language
'r',0.0,0.0,,False,1761079670.3935587,0.0,0.0,1.0,0.1119461059570312,0.1119461059570312,1761079670.5055048,Hungarian
'e',0.1145656108856201,17.45724554287724,,False,1761079670.5081244,0.0026195049285888,0.0,1.0,0.1489231586456298,0.0343575477600097,1761079670.542482,Hungarian
Key.space,0.1512091159820556,19.8400736656381,,False,1761079670.544768,0.0022859573364257,0.0,1.0,0.2220518589019775,0.0708427429199218,1761079670.6156106,Hungarian
'f',0.3123178482055664,12.807465288910468,,False,1761079670.7058766,0.0902659893035888,0.0,1.0,0.4228575229644775,0.1105396747589111,1761079670.8164165,Hungarian
'o',0.4291315078735351,11.651439962486972,,False,1761079670.8226902,0.0062739849090576,0.0,1.0,0.5037281513214111,0.0745966434478759,1761079670.897287,Hungarian
'r',0.5566353797912598,10.779048939091908,,False,1761079670.950194,0.0529072284698486,0.0,1.0,0.6280133724212646,0.0713779926300048,1761079671.021572,Hungarian
Key.space,0.6621811389923096,10.57112561474104,,False,1761079671.05574,0.0341677665710449,0.0,1.0,0.7390844821929932,0.0769033432006836,1761079671.1326432,Hungarian
'a',0.745105504989624,10.736734524745463,,False,1761079671.1386642,0.0060210227966308,0.0,1.0,0.8608102798461914,0.1157047748565673,1761079671.254369,Hungarian
Key.space,0.8614163398742676,10.447909545474422,,False,1761079671.254975,0.0006060600280761,0.0,1.0,0.9289579391479492,0.0675415992736816,1761079671.322517,Hungarian
'w',0.9623634815216064,10.391084233775018,,False,1761079671.3559222,0.0334055423736572,0.0,1.0,1.0288424491882324,0.0664789676666259,1761079671.4224012,Hungarian
'i',1.0950374603271484,10.045318446652674,,False,1761079671.4885962,0.066195011138916,0.0,1.0,1.173668622970581,0.0786311626434326,1761079671.5672274,Hungarian
'd',1.201509714126587,9.987434857089903,,False,1761079671.5950685,0.0278410911560058,0.0,1.0,1.313032150268555,0.1115224361419677,1761079671.706591,Hungarian
'e',1.4935293197631836,8.704214793762,,False,1761079671.887088,0.1804971694946289,0.0,1.0,1.5670695304870603,0.0735402107238769,1761079671.9606285,Hungarian
Key.space,1.630950927734375,8.583949254345752,,False,1761079672.0245097,0.0638813972473144,0.0,1.0,1.7480041980743408,0.1170532703399658,1761079672.141563,Hungarian
'r',1.7559442520141602,8.54241242727052,,False,1761079672.149503,0.0079400539398193,0.0,1.0,1.828962802886963,0.0730185508728027,1761079672.2225215,Hungarian
'a',1.972316026687622,8.112290212877786,,False,1761079672.3658748,0.1433532238006591,0.0,1.0,2.0804989337921143,0.1081829071044921,1761079672.4740577,Hungarian
'n',2.124068021774292,8.003510163388947,,False,1761079672.5176268,0.0435690879821777,0.0,1.0,2.233692407608032,0.1096243858337402,1761079672.6272511,Hungarian
'g',2.1973822116851807,8.191565356395477,"'N','G'",False,1761079672.590941,0.0733141899108886,0.0,1.0,2.309452772140503,0.1120705604553222,1761079672.7030115,Hungarian
'e',2.3100216388702397,8.225031177323654,,False,1761079672.7035804,0.0005688667297363,0.0,1.0,2.383119583129883,0.0730979442596435,1761079672.7766783,Hungarian
Key.space,2.342574119567871,8.537616732353106,"KEY.SPACE,'E'",False,1761079672.7361329,0.0325524806976318,0.0,1.0,2.412172079086304,0.0695979595184326,1761079672.8057308,Hungarian
'o',2.4948201179504395,8.417440539661856,,False,1761079672.8883789,0.0826480388641357,0.0,1.0,2.5998966693878174,0.1050765514373779,1761079672.9934554,Hungarian
'f',2.600836753845215,8.458816174246245,,False,1761079672.9943955,0.0009400844573974,0.0,1.0,2.664201498031616,0.0633647441864013,1761079673.0577602,Hungarian
Key.space,2.6752610206604004,8.597291936142495,,False,1761079673.0688198,0.0110595226287841,0.0,1.0,2.7445602416992188,0.0692992210388183,1761079673.138119,Hungarian
'c',2.7843894958496094,8.619483745278535,,False,1761079673.1779482,0.0398292541503906,0.0,1.0,2.8585622310638428,0.0741727352142334,1761079673.252121,Hungarian
'l',2.864084959030152,8.728791344396992,,False,1761079673.2576437,0.0055227279663085,0.0,1.0,2.9397246837615967,0.0756397247314453,1761079673.3332834,Hungarian
'o',3.026956558227539,8.589485676406445,,False,1761079673.4205153,0.0872318744659423,0.0,1.0,3.100150346755981,0.0731937885284423,1761079673.493709,Hungarian
't',3.101379632949829,8.705802963669871,,False,1761079673.4949384,0.0012292861938476,0.0,1.0,3.175464153289795,0.0740845203399658,1761079673.569023,Hungarian
'h',3.2089145183563232,8.725692080555083,,False,1761079673.6024733,0.0334503650665283,0.0,1.0,3.3227415084838867,0.1138269901275634,1761079673.7163002,Hungarian
'e',3.324252128601074,8.723766693413806,,False,1761079673.7178109,0.0015106201171875,0.0,1.0,3.3597664833068848,0.0355143547058105,1761079673.7533252,Hungarian
's',3.4494292736053467,8.697090915751398,,False,1761079673.842988,0.0896627902984619,0.0,1.0,3.560088396072388,0.110659122467041,1761079673.9536471,Hungarian
Key.space,3.561105489730835,8.705161947433107,,False,1761079673.9546642,0.0010170936584472,0.0,1.0,3.633840084075928,0.0727345943450927,1761079674.0273988,Hungarian
't',3.759082555770874,8.512715410007209,,False,1761079674.1526413,0.1252424716949463,0.0,1.0,3.830842256546021,0.0717597007751464,1761079674.224401,Hungarian
'h',3.863682270050049,8.54107498843908,,False,1761079674.257241,0.0328400135040283,0.0,1.0,3.983396053314209,0.1197137832641601,1761079674.3769548,Hungarian
'a',3.9454522132873535,8.617516614571077,"'H','A'",False,1761079674.339011,0.0817699432373046,0.0,1.0,4.056164979934692,0.1107127666473388,1761079674.4497235,Hungarian
't',4.077255010604858,8.58420675404548,,False,1761079674.4708138,0.021090030670166,0.0,1.0,4.152873754501343,0.0756187438964843,1761079674.5464325,Hungarian
Key.space,4.153646469116211,8.66708331286073,,False,1761079674.5472052,0.0007727146148681,0.0,1.0,4.225839853286743,0.0721933841705322,1761079674.6193986,Hungarian
'w',4.272480010986328,8.66007562466239,,False,1761079674.6660388,0.0466401576995849,0.0,1.0,4.348676681518555,0.0761966705322265,1761079674.7422354,Hungarian
'i',4.350718259811401,8.734190018925117,,False,1761079674.744277,0.0020415782928466,0.0,1.0,4.422885417938232,0.072167158126831,1761079674.8164442,Hungarian
'l',4.530744791030884,8.60785627943663,,False,1761079674.9243035,0.1078593730926513,0.0,1.0,4.611509323120117,0.0807645320892334,1761079675.005068,Hungarian
'l',4.681211948394775,8.544795758225883,,False,1761079675.0747707,0.0697026252746582,0.0,1.0,4.754732847213745,0.0735208988189697,1761079675.1482916,Hungarian
Key.space,4.843932390213013,8.464197411763838,,False,1761079675.2374911,0.0891995429992675,0.0,1.0,4.9569478034973145,0.1130154132843017,1761079675.3505063,Hungarian
'g',4.920122623443604,8.53637260987697,"KEY.SPACE,'G'",False,1761079675.3136814,0.0761902332305908,0.0,1.0,4.992003917694092,0.0718812942504882,1761079675.385563,Hungarian
'e',4.9569478034973145,8.674692916811,"'G','E'",False,1761079675.3505063,0.0368251800537109,0.0,1.0,5.022921323776245,0.0659735202789306,1761079675.41648,Hungarian
't',5.086368560791016,8.650572500620612,,False,1761079675.4799273,0.0634472370147705,0.0,1.0,5.162132263183594,0.0757637023925781,1761079675.555691,Hungarian
Key.space,5.163186550140381,8.715547959191307,,False,1761079675.5567453,0.0010542869567871,0.0,1.0,5.2361900806427,0.0730035305023193,1761079675.6297488,Hungarian
'y',5.280395746231079,8.711468270694073,,False,1761079675.6739545,0.0442056655883789,0.0,1.0,5.391918659210205,0.1115229129791259,1761079675.7854774,Hungarian
'o',5.393343925476074,8.714445184552416,,False,1761079675.786903,0.0014252662658691,0.0,1.0,5.461456775665283,0.0681128501892089,1761079675.8550155,Hungarian
'u',5.472560167312622,8.771031936149745,,False,1761079675.866119,0.0111033916473388,0.0,1.0,5.585265874862671,0.1127057075500488,1761079675.9788246,Hungarian
Key.space,5.656377077102661,8.662788801396358,,False,1761079676.0499358,0.0711112022399902,0.0,1.0,5.728321075439453,0.0719439983367919,1761079676.1218798,Hungarian
'i',5.778361082077026,8.652972579904533,,False,1761079676.1719198,0.0500400066375732,0.0,1.0,5.9009435176849365,0.1225824356079101,1761079676.2945025,Hungarian
