key,start_time,key_per_second,combination,error,start_time_timestamp,seek_time,error_rate,accuracy,end_time,hold_time,end_time_timestamp,language
'l',0.0,0.0,,False,1761079999.0041924,0.0,0.0,1.0,0.0747621059417724,0.0747621059417724,1761079999.0789545,Hungarian
'd',0.0904068946838378,22.12220657499855,,False,1761079999.0945992,0.0156447887420654,0.0,1.0,0.1639478206634521,0.0735409259796142,1761079999.1681402,Hungarian
Key.space,0.1800136566162109,16.66540226109622,,False,1761079999.184206,0.0160658359527587,0.0,1.0,0.2934069633483886,0.1133933067321777,1761079999.2975993,Hungarian
'a',0.2568371295928955,15.574072200309493,"'A',KEY.SPACE",False,1761079999.2610295,0.0768234729766845,0.0,1.0,0.3685560226440429,0.1117188930511474,1761079999.3727484,Hungarian
Key.space,0.3685560226440429,13.56645853764565,,False,1761079999.3727484,0.0,0.0,1.0,0.4426431655883789,0.0740871429443359,1761079999.4468355,Hungarian
'p',0.5275065898895264,11.374265487861596,,False,1761079999.531699,0.0848634243011474,0.0,1.0,0.6029269695281982,0.0754203796386718,1761079999.607119,Hungarian
'r',0.6135420799255371,11.409160396707524,,False,1761079999.6177344,0.0106151103973388,0.0,1.0,0.6875598430633545,0.0740177631378173,1761079999.6917522,Hungarian
'i',0.7277846336364746,10.99226286219718,,False,1761079999.731977,0.0402247905731201,0.0,1.0,0.7963240146636963,0.0685393810272216,1761079999.8005164,Hungarian
's',0.815161943435669,11.040750948293336,,False,1761079999.8193543,0.0188379287719726,0.0,1.0,0.9260096549987792,0.1108477115631103,1761079999.930202,Hungarian
'o',0.8805446624755859,11.3566073660429,"'S','O'",False,1761079999.884737,0.0653827190399169,0.0,1.0,0.9968376159667968,0.1162929534912109,1761080000.00103,Hungarian
'n',0.9968376159667968,11.034896580755028,,False,1761080000.00103,0.0,0.0,1.0,1.075446605682373,0.0786089897155761,1761080000.079639,Hungarian
Key.space,1.1309325695037842,10.610712188848892,,False,1761080000.135125,0.0554859638214111,0.0,1.0,1.210446834564209,0.0795142650604248,1761080000.2146392,Hungarian
'o',1.2808518409729004,10.149495503028325,,False,1761080000.2850442,0.0704050064086914,0.0,1.0,1.3958919048309326,0.1150400638580322,1761080000.4000845,Hungarian
'f',1.3958919048309326,10.029429894641911,,False,1761080000.4000845,0.0,0.0,1.0,1.4717719554901123,0.0758800506591796,1761080000.4759643,Hungarian
Key.space,1.5130252838134766,9.913912318896305,,False,1761080000.5172176,0.0412533283233642,0.0,1.0,1.5803494453430176,0.067324161529541,1761080000.5845418,Hungarian
's',1.623525619506836,9.85509548340862,,False,1761080000.627718,0.0431761741638183,0.0,1.0,1.7312426567077637,0.1077170372009277,1761080000.735435,Hungarian
't',1.8104751110076904,9.389800443342184,,False,1761080000.8146677,0.0792324542999267,0.0,1.0,1.880321025848389,0.0698459148406982,1761080000.8845134,Hungarian
'o',1.8923470973968504,9.511997045764568,,False,1761080000.8965394,0.0120260715484619,0.0,1.0,1.958982229232788,0.0666351318359375,1761080000.9631746,Hungarian
'n',2.027565717697144,9.370842993725356,,False,1761080001.031758,0.0685834884643554,0.0,1.0,2.142385721206665,0.1148200035095214,1761080001.146578,Hungarian
'e',2.143009185791016,9.332671148872238,,False,1761080001.1472015,0.0006234645843505,0.0,1.0,2.213941097259521,0.0709319114685058,1761080001.2181334,Hungarian
Key.space,2.228982448577881,9.421339326111909,,False,1761080001.2331748,0.0150413513183593,0.0,1.0,2.3058552742004395,0.0768728256225586,1761080001.3100476,Hungarian
'a',2.3058552742004395,9.540928368814711,,False,1761080001.3100476,0.0,0.0,1.0,2.415088176727295,0.1092329025268554,1761080001.4192803,Hungarian
'n',2.430731773376465,9.46217112555011,,False,1761080001.434924,0.0156435966491699,0.0,1.0,2.5089995861053467,0.0782678127288818,1761080001.513192,Hungarian
'd',2.5149853229522705,9.542799228675843,,False,1761080001.5191777,0.0059857368469238,0.0,1.0,2.579545497894287,0.0645601749420166,1761080001.583738,Hungarian
Key.space,2.613837480545044,9.564481413277056,,False,1761080001.6180298,0.0342919826507568,0.0,1.0,2.69062614440918,0.0767886638641357,1761080001.6948185,Hungarian
's',2.6925265789031982,9.656357788152684,,False,1761080001.696719,0.0019004344940185,0.0,1.0,2.7654030323028564,0.0728764533996582,1761080001.7695954,Hungarian
't',2.856555223464966,9.451943998215214,,False,1761080001.8607476,0.0911521911621093,0.0,1.0,2.9618287086486816,0.1052734851837158,1761080001.966021,Hungarian
'e',2.928450107574463,9.561371705660187,"'E','T'",False,1761080001.9326425,0.071894884109497,0.0,1.0,3.043034076690674,0.1145839691162109,1761080002.0472264,Hungarian
'e',3.0926191806793213,9.377164890256514,,False,1761080002.0968115,0.0495851039886474,0.0,1.0,3.203318357467652,0.11069917678833,1761080002.2075107,Hungarian
'l',3.229559898376465,9.289191389539278,,False,1761080002.2337525,0.0262415409088134,0.0,1.0,3.3427042961120605,0.1131443977355957,1761080002.3468966,Hungarian
"','",3.347203493118286,9.261462610126554,,False,1761080002.3513958,0.0044991970062255,0.0,1.0,3.4559221267700195,0.1087186336517334,1761080002.4601145,Hungarian
