key,start_time,key_per_second,combination,error,start_time_timestamp,seek_time,error_rate,accuracy,end_time,hold_time,end_time_timestamp,language
'n',0.0,0.0,,False,1761079676.3127058,0.0,0.0,1.0,0.1133255958557128,0.1133255958557128,1761079676.4260314,Hungarian
"','",0.2142415046691894,9.335259305092178,,False,1761079676.5269473,0.1009159088134765,0.0,1.0,0.2942402362823486,0.0799987316131591,1761079676.606946,Hungarian
Key.space,0.3990755081176758,7.517374378974384,,False,1761079676.7117813,0.1048352718353271,0.0,1.0,0.4748528003692627,0.0757772922515869,1761079676.7875586,Hungarian
'a',0.4748528003692627,8.42366307388196,,False,1761079676.7875586,0.0,0.0,1.0,0.548628568649292,0.0737757682800293,1761079676.8613343,Hungarian
'n',0.5830624103546143,8.575411330253715,,False,1761079676.8957682,0.0344338417053222,0.0,1.0,0.6975138187408447,0.1144514083862304,1761079677.0102196,Hungarian
'd',0.6975138187408447,8.601980116797153,,False,1761079677.0102196,0.0,0.0,1.0,0.7703192234039307,0.0728054046630859,1761079677.083025,Hungarian
Key.space,0.773310661315918,9.051989517496532,,False,1761079677.0860164,0.0029914379119873,0.0,1.0,0.8445076942443848,0.0711970329284668,1761079677.1572134,Hungarian
's',1.1226844787597656,7.125777679618083,,True,1761079677.4353902,0.2781767845153808,0.1111111111111111,0.8888888888888888,1.2330036163330078,0.1103191375732421,1761079677.5457094,Hungarian
Key.backspace,1.310614824295044,6.867006105200235,,False,1761079677.6233206,0.0776112079620361,0.0,1.0,1.4282290935516355,0.1176142692565918,1761079677.7409348,Hungarian
'e',1.4332494735717771,6.977152396978849,,False,1761079677.7459552,0.0050203800201416,0.1,0.9,1.5096051692962646,0.0763556957244873,1761079677.822311,Hungarian
's',1.6195626258850098,6.791957176703217,,True,1761079677.9322684,0.1099574565887451,0.1666666666666666,0.8333333333333334,1.694624662399292,0.0750620365142822,1761079678.0073304,Hungarian
Key.backspace,1.8431320190429688,6.510656792903474,,False,1761079678.1558378,0.1485073566436767,0.0833333333333333,0.9166666666666666,1.921225309371948,0.0780932903289794,1761079678.233931,Hungarian
'p',2.016947031021118,6.445384930817196,,True,1761079678.3296528,0.0957217216491699,0.25,0.75,2.1258738040924072,0.108926773071289,1761079678.4385796,Hungarian
'e',2.127884864807129,6.579303340864242,,True,1761079678.4405906,0.0020110607147216,0.2,0.8,2.236720323562622,0.1088354587554931,1761079678.549426,Hungarian
Key.backspace,2.448803424835205,6.125440632707969,,False,1761079678.7615092,0.212083101272583,0.1333333333333333,0.8666666666666667,2.523306608200073,0.0745031833648681,1761079678.8360124,Hungarian
Key.backspace,2.5963869094848637,6.162409747773102,,False,1761079678.909093,0.07308030128479,0.1875,0.8125,2.67602276802063,0.0796358585357666,1761079678.9887283,Hungarian
's',2.640092372894287,6.439168634604704,"'S',KEY.BACKSPACE",False,1761079678.952798,0.0437054634094238,0.2352941176470588,0.7647058823529411,2.7507927417755127,0.1107003688812255,1761079679.0634985,Hungarian
'p',2.761503219604492,6.518189032775415,,False,1761079679.074209,0.0107104778289794,0.2222222222222222,0.7777777777777778,2.876629590988159,0.1151263713836669,1761079679.189335,Hungarian
'e',2.878801107406616,6.599969671790301,,False,1761079679.1915069,0.002171516418457,0.2105263157894736,0.7894736842105263,2.952014207839966,0.0732131004333496,1761079679.26472,Hungarian
