key,start_time,key_per_second,combination,error,start_time_timestamp,seek_time,error_rate,accuracy,end_time,hold_time,end_time_timestamp,language
'h',0.0,0.0,,False,1761080559.4304388,0.0,0.0,1.0,0.1493303775787353,0.1493303775787353,1761080559.5797691,Hungarian
'e',0.2255182266235351,8.868462784334787,,False,1761080559.655957,0.0761878490447998,0.0,1.0,0.4418067932128906,0.2162885665893554,1761080559.8722456,Hungarian
Key.space,0.5687665939331055,5.274571383059885,,False,1761080559.9992054,0.1269598007202148,0.0,1.0,0.7203891277313232,0.1516225337982177,1761080560.150828,Hungarian
'f',0.8049278259277344,4.969389641101954,,False,1761080560.2353666,0.0845386981964111,0.0,1.0,0.998033046722412,0.1931052207946777,1761080560.4284718,Hungarian
'o',1.101402997970581,4.539664418212844,,False,1761080560.5318418,0.1033699512481689,0.0,1.0,1.2851040363311768,0.1837010383605957,1761080560.7155428,Hungarian
'r',1.3878307342529297,4.323293793626645,,False,1761080560.8182695,0.1027266979217529,0.0,1.0,1.5650224685668943,0.1771917343139648,1761080560.9954612,Hungarian
'u',1.614875078201294,4.334700618326993,,False,1761080561.0453138,0.0498526096343994,0.0,1.0,1.7302818298339844,0.1154067516326904,1761080561.1607206,Hungarian
'm',1.9431123733520508,4.117106200193276,,False,1761080561.3735511,0.2128305435180664,0.0,1.0,2.1642231941223145,0.2211108207702636,1761080561.594662,Hungarian
"','",2.268587350845337,3.96722656354685,,False,1761080561.699026,0.1043641567230224,0.0,1.0,2.455507755279541,0.1869204044342041,1761080561.8859465,Hungarian
Key.space,2.572017192840576,3.887998893567209,,False,1761080562.002456,0.1165094375610351,0.0,1.0,2.719217300415039,0.1472001075744629,1761080562.149656,Hungarian
'a',2.8388843536376958,3.874761571708548,,False,1761080562.269323,0.1196670532226562,0.0,1.0,3.0235049724578857,0.1846206188201904,1761080562.4539435,Hungarian
'n',3.1071362495422363,3.862077178549193,,False,1761080562.537575,0.0836312770843505,0.0,1.0,3.2901623249053955,0.1830260753631591,1761080562.720601,Hungarian
'd',3.458216428756714,3.7591632183280432,,False,1761080562.8886552,0.1680541038513183,0.0,1.0,3.605211019515991,0.1469945907592773,1761080563.0356498,Hungarian
Key.space,3.7278027534484863,3.755563511789617,,False,1761080563.1582415,0.1225917339324951,0.0,1.0,3.837602138519287,0.1097993850708007,1761080563.268041,Hungarian
's',3.9069221019744873,3.839339410534772,,False,1761080563.3373609,0.0693199634552002,0.0,1.0,4.0519421100616455,0.1450200080871582,1761080563.4823809,Hungarian
'o',4.194599866867065,3.81442819525724,,False,1761080563.6250386,0.1426577568054199,0.0,1.0,4.335815906524658,0.1412160396575927,1761080563.766255,Hungarian
'm',4.536056041717529,3.7477491114865353,,False,1761080563.9664948,0.2002401351928711,0.0,1.0,4.758037805557251,0.2219817638397216,1761080564.1884766,Hungarian
'e',4.813186407089233,3.739726342924971,,False,1761080564.2436252,0.0551486015319824,0.0,1.0,4.963347434997559,0.1501610279083252,1761080564.3937862,Hungarian
Key.space,5.054406404495239,3.759096218124044,,False,1761080564.4848452,0.0910589694976806,0.0,1.0,5.165479421615601,0.1110730171203613,1761080564.5959182,Hungarian
'm',5.330962419509888,3.751667790192139,,False,1761080564.7614012,0.1654829978942871,0.0,1.0,5.433326721191406,0.1023643016815185,1761080564.8637657,Hungarian
'u',5.69119668006897,3.689909377678634,,False,1761080565.1216354,0.2578699588775635,0.0,1.0,5.83580756187439,0.1446108818054199,1761080565.2662463,Hungarian
