key,start_time,key_per_second,combination,error,start_time_timestamp,seek_time,error_rate,accuracy,end_time,hold_time,end_time_timestamp,language
Key.space,0.0,0.0,,False,1758045258.379325,0.0,0.0,1.0,0.0676126480102539,0.0676126480102539,1758045258.4469376,Hungarian
'p',0.1937768459320068,10.321150550163086,,False,1758045258.5731018,0.1261641979217529,0.0,1.0,0.3015522956848144,0.1077754497528076,1758045258.6808772,Hungarian
'u',0.3134176731109619,9.571891623794569,,False,1758045258.6927426,0.0118653774261474,0.0,1.0,0.3947000503540039,0.0812823772430419,1758045258.774025,Hungarian
'r',0.4363551139831543,9.166845699336577,,False,1758045258.81568,0.0416550636291503,0.0,1.0,0.5261645317077637,0.0898094177246093,1758045258.9054894,Hungarian
'p',0.5511565208435059,9.071833156120253,,False,1758045258.9304814,0.0249919891357421,0.0,1.0,0.6634693145751953,0.1123127937316894,1758045259.0427942,Hungarian
'l',0.6475651264190674,9.265477332263163,"'L','P'",False,1758045259.02689,0.0964086055755615,0.0,1.0,0.7268507480621338,0.0792856216430664,1758045259.1061757,Hungarian
'.',0.836956262588501,8.363638953307682,,True,1758045259.2162812,0.1101055145263671,0.2,0.8,0.9177577495574952,0.0808014869689941,1758045259.297083,Hungarian
'e',1.0113520622253418,7.9102028846385055,,True,1758045259.390677,0.0935943126678466,0.1111111111111111,0.8888888888888888,1.0410592555999756,0.0297071933746337,1758045259.4203842,Hungarian
Key.backspace,1.1946332454681396,7.533692900429186,,False,1758045259.5739582,0.153573989868164,0.0,1.0,1.2789535522460938,0.0843203067779541,1758045259.6582785,Hungarian
Key.backspace,1.354839563369751,7.3809477301711235,,False,1758045259.7341645,0.0758860111236572,0.1,0.9,1.4286444187164309,0.0738048553466796,1758045259.807969,Hungarian
'e',1.4297349452972412,7.693733748469794,,False,1758045259.80906,0.0010905265808105,0.1818181818181818,0.8181818181818182,1.5066940784454346,0.0769591331481933,1758045259.886019,Hungarian
'.',1.542818307876587,7.777973555755798,,False,1758045259.9221432,0.0361242294311523,0.1666666666666666,0.8333333333333334,1.6219313144683838,0.0791130065917968,1758045260.0012562,Hungarian
Key.space,1.717869520187378,7.56751304288932,,False,1758045260.0971944,0.0959382057189941,0.1538461538461538,0.8461538461538461,1.7973315715789795,0.0794620513916015,1758045260.1766565,Hungarian
Key.shift_r,1.8833260536193848,7.433657052157662,,False,1758045260.262651,0.0859944820404052,0.1428571428571428,0.8571428571428571,2.02172589302063,0.1383998394012451,1758045260.4010508,Hungarian
'A',1.934720039367676,7.753059716537824,"'A',KEY.SHIFT_R",False,1758045260.314045,0.051393985748291,0.1333333333333333,0.8666666666666667,2.04472279548645,0.1100027561187744,1758045260.4240477,Hungarian
Key.space,2.1327016353607178,7.502221470981249,,False,1758045260.5120263,0.0879788398742675,0.125,0.875,2.217790126800537,0.0850884914398193,1758045260.597115,Hungarian
'g',2.240321636199951,7.588196143494608,,False,1758045260.6196463,0.022531509399414,0.1176470588235294,0.8823529411764706,2.3475589752197266,0.1072373390197753,1758045260.726884,Hungarian
'e',2.3345043659210205,7.710416079217119,"'G','E'",False,1758045260.7138293,0.0941827297210693,0.1111111111111111,0.8888888888888888,2.42358946800232,0.0890851020812988,1758045260.8029144,Hungarian
