key,start_time,key_per_second,combination,error,start_time_timestamp,seek_time,error_rate,accuracy,end_time,hold_time,end_time_timestamp,language
'e',0.0,0.0,,False,1761080041.939656,0.0,0.0,1.0,0.1140050888061523,0.1140050888061523,1761080042.053661,Hungarian
'd',0.1782252788543701,11.221752676477632,,False,1761080042.1178813,0.0642201900482177,0.0,1.0,0.2539312839508056,0.0757060050964355,1761080042.1935873,Hungarian
Key.space,0.2716727256774902,11.042698498786288,,False,1761080042.2113287,0.0177414417266845,0.0,1.0,0.341135025024414,0.0694622993469238,1761080042.280791,Hungarian
'h',0.4652292728424072,8.597911252577111,,True,1761080042.4048853,0.1240942478179931,0.2,0.8,0.5825927257537842,0.1173634529113769,1761080042.5222487,Hungarian
Key.backspace,0.8285312652587891,6.034775282062851,,False,1761080042.7681873,0.2459385395050048,0.0,1.0,0.9334337711334229,0.1049025058746337,1761080042.8730898,Hungarian
't',0.9622535705566406,6.235362677354519,,False,1761080042.9019096,0.0288197994232177,0.1666666666666666,0.8333333333333334,1.0319099426269531,0.0696563720703125,1761080042.971566,Hungarian
'h',1.0657062530517578,6.568414119702114,,False,1761080043.0053625,0.0337963104248046,0.1428571428571428,0.8571428571428571,1.178422927856445,0.1127166748046875,1761080043.118079,Hungarian
'e',1.1927778720855713,6.707032539103031,,False,1761080043.132434,0.0143549442291259,0.125,0.875,1.3077213764190674,0.1149435043334961,1761080043.2473774,Hungarian
'm',1.3077213764190674,6.88219995657232,,False,1761080043.2473774,0.0,0.1111111111111111,0.8888888888888888,1.378469467163086,0.0707480907440185,1761080043.3181255,Hungarian
Key.space,1.4454731941223145,6.91814973855116,,False,1761080043.3851292,0.0670037269592285,0.1,0.9,1.515946388244629,0.0704731941223144,1761080043.4556024,Hungarian
'a',1.485046148300171,7.407177219772554,"'A',KEY.SPACE",False,1761080043.4247022,0.0395729541778564,0.0909090909090909,0.9090909090909092,1.63448166847229,0.1494355201721191,1761080043.5741377,Hungarian
's',1.5997953414916992,7.500959459483626,"'S','A'",False,1761080043.5394514,0.1147491931915283,0.0833333333333333,0.9166666666666666,1.666018009185791,0.0662226676940918,1761080043.605674,Hungarian
Key.space,1.6750788688659668,7.760828604327769,,False,1761080043.614735,0.0090608596801757,0.0769230769230769,0.9230769230769232,1.7455174922943115,0.0704386234283447,1761080043.6851735,Hungarian
'i',1.7934064865112305,7.806373014315699,,False,1761080043.7330625,0.0478889942169189,0.0714285714285714,0.9285714285714286,1.870044469833374,0.0766379833221435,1761080043.8097005,Hungarian
'f',1.8935649394989011,7.921566188255199,,False,1761080043.833221,0.0235204696655273,0.0666666666666666,0.9333333333333332,1.965580940246582,0.0720160007476806,1761080043.905237,Hungarian
Key.space,1.9775230884552,8.090929553949666,,False,1761080043.917179,0.0119421482086181,0.0625,0.9375,2.0485994815826416,0.0710763931274414,1761080043.9882555,Hungarian
't',2.0950028896331787,8.114547280159881,,False,1761080044.034659,0.0464034080505371,0.0588235294117647,0.9411764705882352,2.170165777206421,0.0751628875732421,1761080044.1098218,Hungarian
