key,start_time,key_per_second,combination,error,start_time_timestamp,seek_time,error_rate,accuracy,end_time,hold_time,end_time_timestamp,language
Key.backspace,0.0,0.0,,True,1761080063.4233,0.0,1.0,0.0,0.1137599945068359,0.1137599945068359,1761080063.53706,Hungarian
Key.backspace,0.1842467784881591,10.855006618900164,,True,1761080063.6075468,0.0704867839813232,1.0,0.0,0.2594108581542969,0.0751640796661377,1761080063.682711,Hungarian
Key.backspace,0.3359906673431396,8.928819433356963,,False,1761080063.7592907,0.0765798091888427,0.6666666666666666,0.3333333333333333,0.406083345413208,0.0700926780700683,1761080063.8293834,Hungarian
'e',0.37176513671875,10.759481201773108,"KEY.BACKSPACE,'E'",False,1761080063.7950652,0.0357744693756103,0.75,0.25,0.4437870979309082,0.0720219612121582,1761080063.8670871,Hungarian
'n',0.5139448642730713,9.728670033646605,,False,1761080063.937245,0.070157766342163,0.6,0.4,0.5893299579620361,0.0753850936889648,1761080064.01263,Hungarian
't',0.5893299579620361,10.181053786487658,,False,1761080064.01263,0.0,0.5,0.5,0.6634185314178467,0.0740885734558105,1761080064.0867186,Hungarian
"','",0.7514181137084961,9.315719001572496,,False,1761080064.174718,0.0879995822906494,0.4285714285714285,0.5714285714285714,0.8639781475067139,0.1125600337982177,1761080064.2872782,Hungarian
Key.space,0.967299461364746,8.27044810788268,,False,1761080064.3905995,0.1033213138580322,0.375,0.625,1.044059991836548,0.0767605304718017,1761080064.46736,Hungarian
'p',1.3344054222106934,6.744576910583748,,False,1761080064.7577057,0.2903454303741455,0.3333333333333333,0.6666666666666666,1.4487042427062988,0.1142988204956054,1761080064.8720045,Hungarian
'e',1.6805500984191897,5.950432545513821,,False,1761080065.10385,0.2318458557128906,0.3,0.7,1.793651103973389,0.1131010055541992,1761080065.2169511,Hungarian
'r',1.8442721366882324,5.964412616325022,,False,1761080065.2675722,0.0506210327148437,0.2727272727272727,0.7272727272727273,1.9480273723602293,0.103755235671997,1761080065.3713274,Hungarian
'f',2.094874620437622,5.728266447513305,,False,1761080065.5181746,0.1468472480773925,0.25,0.75,2.204975843429565,0.1101012229919433,1761080065.628276,Hungarian
'e',2.2070746421813965,5.890149681186699,,False,1761080065.630375,0.002098798751831,0.2307692307692307,0.7692307692307693,2.2787344455718994,0.0716598033905029,1761080065.7020345,Hungarian
'c',2.410202741622925,5.808639977968415,,False,1761080065.8335028,0.1314682960510254,0.2142857142857142,0.7857142857142857,2.4809515476226807,0.0707488059997558,1761080065.9042516,Hungarian
't',2.5949835777282715,5.780383401551798,,False,1761080066.0182836,0.1140320301055908,0.2,0.8,2.669855117797852,0.07487154006958,1761080066.0931551,Hungarian
'l',2.721873044967652,5.878305025865068,,False,1761080066.145173,0.0520179271697998,0.1875,0.8125,2.796773910522461,0.0749008655548095,1761080066.220074,Hungarian
'y',2.8175289630889893,6.033655810715111,,False,1761080066.240829,0.0207550525665283,0.1764705882352941,0.8235294117647058,2.9667727947235107,0.1492438316345214,1761080066.3900728,Hungarian
Key.space,2.970250368118286,6.060095200460615,,False,1761080066.3935504,0.0034775733947753,0.1666666666666666,0.8333333333333334,3.041867733001709,0.0716173648834228,1761080066.4651678,Hungarian
'd',3.2008249759674072,5.935969677397778,,False,1761080066.624125,0.1589572429656982,0.1578947368421052,0.8421052631578947,3.312551736831665,0.1117267608642578,1761080066.7358518,Hungarian
'o',3.314065456390381,6.034883819640555,,False,1761080066.7373655,0.0015137195587158,0.15,0.85,3.4236576557159424,0.1095921993255615,1761080066.8469577,Hungarian
'n',3.4246647357940674,6.131987105339463,,False,1761080066.8479648,0.001007080078125,0.1428571428571428,0.8571428571428571,3.495720148086548,0.0710554122924804,1761080066.9190202,Hungarian
'e',3.5063655376434326,6.274303053635936,,False,1761080066.9296656,0.0106453895568847,0.1363636363636363,0.8636363636363636,3.580268383026123,0.0739028453826904,1761080067.0035684,Hungarian
'.',3.598611354827881,6.3913542564532015,,False,1761080067.0219114,0.0183429718017578,0.1304347826086956,0.8695652173913043,3.7448902130126953,0.1462788581848144,1761080067.1681902,Hungarian
Key.shift_r,5.804020643234253,4.135064548396602,,False,1761080069.227321,2.0591304302215576,0.125,0.875,6.248804092407227,0.4447834491729736,1761080069.672104,Hungarian
Key.shift_r,6.349041938781738,3.9376019627926775,,False,1761080069.772342,0.1002378463745117,0.12,0.88,6.649964094161987,0.300922155380249,1761080070.073264,Hungarian
'I',6.609861135482788,3.933516826916054,"'I',KEY.SHIFT_R",False,1761080070.0331612,0.2608191967010498,0.1153846153846153,0.8846153846153846,6.649964094161987,0.0401029586791992,1761080070.073264,Hungarian
'n',6.81049919128418,3.9644671031682353,,False,1761080070.2337992,0.1605350971221923,0.1111111111111111,0.8888888888888888,6.921618461608887,0.111119270324707,1761080070.3449185,Hungarian
's',6.921618461608887,4.045296653564978,,False,1761080070.3449185,0.0,0.1071428571428571,0.8928571428571429,6.997158050537109,0.0755395889282226,1761080070.420458,Hungarian
't',7.046239137649536,4.115670705106631,,False,1761080070.4695392,0.0490810871124267,0.1034482758620689,0.896551724137931,7.162307977676392,0.1160688400268554,1761080070.585608,Hungarian
'e',7.162307977676392,4.188593969081549,,False,1761080070.585608,0.0,0.1,0.9,7.308902502059936,0.1465945243835449,1761080070.7322023,Hungarian
'a',7.162307977676392,4.328213768050934,"'E','A'",False,1761080070.585608,0.0,0.0967741935483871,0.9032258064516128,7.342427968978882,0.1801199913024902,1761080070.765728,Hungarian
'd',7.628217697143555,4.194951071202733,,False,1761080071.0515175,0.2857897281646728,0.09375,0.90625,7.738468885421753,0.1102511882781982,1761080071.161769,Hungarian
Key.space,7.7588114738464355,4.253228746598251,,False,1761080071.1821115,0.0203425884246826,0.0909090909090909,0.9090909090909092,7.830844163894653,0.0720326900482177,1761080071.2541442,Hungarian
'o',7.910126209259033,4.298287928731404,,False,1761080071.3334262,0.0792820453643798,0.088235294117647,0.9117647058823528,8.020639181137085,0.1105129718780517,1761080071.4439392,Hungarian
'f',7.978721857070923,4.3866675173019365,"'O','F'",False,1761080071.402022,0.0685956478118896,0.0857142857142857,0.9142857142857144,8.058006286621094,0.0792844295501709,1761080071.4813063,Hungarian
Key.space,8.104722023010254,4.441854994877281,,False,1761080071.528022,0.0467157363891601,0.0833333333333333,0.9166666666666666,8.218535423278809,0.1138134002685546,1761080071.6418357,Hungarian
'w',8.292436361312866,4.46189737103296,,False,1761080071.7157364,0.0739009380340576,0.081081081081081,0.918918918918919,8.402901887893677,0.1104655265808105,1761080071.826202,Hungarian
'i',8.435294389724731,4.504881305184662,,False,1761080071.8585944,0.0323925018310546,0.0789473684210526,0.9210526315789472,8.548129796981812,0.11283540725708,1761080071.9714298,Hungarian
's',8.643298864364624,4.512166085196097,,False,1761080072.066599,0.0951690673828125,0.0769230769230769,0.9230769230769232,8.716485738754272,0.0731868743896484,1761080072.1397858,Hungarian
'h',8.73346471786499,4.580083768836536,,False,1761080072.1567647,0.0169789791107177,0.075,0.925,8.807178258895874,0.0737135410308837,1761080072.2304783,Hungarian
